Designator,Mid X,Mid Y,Rotation,Layer
BZ1,121.92,-104.14,180.0,top
C1,174.98,-103.8,270.0,top
C2,174.625,-100.948,270.0,top
C3,131.24,-106.48,270.0,top
C4,180.4416,-77.7494,0.0,top
C5,182.03,-90.58,180.0,top
CN1,178.814,-121.886,0.0,top
CN2,132.075,-118.1425,0.0,top
CN4,190.5,-102.87,0.0,top
CN5,147.315,-118.1425,0.0,top
CN7,190.5,-82.55,180.0,top
CN9,161.09,-122.59,90.0,top
D1,185.166,-110.998,270.0,top
D2,161.53,-116.16,270.0,top
JP1,163.03,-105.255,0.0,top
JP2,167.62,-105.255,0.0,top
JP3,179.11,-96.19,270.0,top
JP4,171.32,-116.51,0.0,top
JP5,166.08,-115.17,0.0,top
LD1,120.4215,-49.9272,0.0,top
LD10,120.36,-71.07,0.0,top
LD11,120.38,-74.0,0.0,top
LD12,120.35,-76.99,0.0,top
LD13,120.36,-80.03,0.0,top
LD14,120.41,-82.84,0.0,top
LD2,120.4215,-52.9036,0.0,top
LD3,120.4215,-55.88,0.0,top
LD4,120.4215,-58.8564,0.0,top
LD5,120.4215,-61.8328,0.0,top
LD6,120.3453,-64.8092,0.0,top
LD7,175.998,-88.432,90.0,top
LD8,172.95,-88.4575,90.0,top
LD9,120.34,-68.23,0.0,top
MODULE1A,139.7,-66.802,0.0,top
MODULE1B,124.46,-66.802,0.0,top
OLED1,171.958,-42.348,0.0,top
Q1,119.56,-94.36,0.0,top
R1,161.8976,-74.3458,180.0,top
R10,117.094,-61.849,180.0,top
R11,117.0666,-64.77,180.0,top
R12,175.768,-82.55,90.0,top
R13,185.166,-81.28,90.0,top
R14,188.1886,-50.165,90.0,top
R15,191.4144,-50.1396,90.0,top
R16,162.921,-101.191,0.0,top
R17,122.97,-95.29,180.0,top
R18,176.018,-91.1445,270.0,top
R19,143.764,-103.888,270.0,top
R2,117.1214,-49.9364,180.0,top
R20,172.968,-91.1445,270.0,top
R21,117.0635,-68.23,180.0,top
R22,117.12,-89.61,180.0,top
R23,117.058,-71.07,180.0,top
R24,151.384,-101.602,270.0,top
R25,167.6454,-101.064,0.0,top
R26,151.384,-106.174,270.0,top
R27,117.08,-73.97,180.0,top
R28,117.06,-76.99,180.0,top
R29,161.57,-112.52,90.0,top
R3,182.37,-74.422,180.0,top
R30,117.12,-80.02,180.0,top
R31,117.17,-82.83,180.0,top
R4,117.1214,-52.8828,180.0,top
R5,185.3,-119.18,90.0,top
R6,117.1194,-55.88,180.0,top
R7,171.45,-74.28,180.0,top
R8,185.3,-121.6184,90.0,top
R9,117.1194,-58.8772,180.0,top
RV1,163.85,-83.81,180.0,top
SW1,161.7218,-71.5772,0.0,top
SW2,182.1942,-71.5772,0.0,top
SW3,171.958,-71.57,0.0,top
SW4,118.68,-87.01,0.0,top
U1,178.562,-103.378,90.0,top
U2,180.52,-81.235,90.0,top
U3,134.747,-103.951,180.0,top
U4,181.9475,-88.89,0.0,top
U5,157.245,-115.13,180.0,top
U6,147.701,-103.823,180.0,top
